time,longitude,latitude,>= 0.3Âµm,>= 0.5Âµm,>= 1.0Âµm,>= 2.5Âµm,>= 5.0Âµm,>= 10.0Âµm
2/14/26 9:58,null,null,217,192,27,4,1,0
2/14/26 9:58,null,null,208,184,23,2,0,0
2/14/26 9:58,null,null,190,167,19,2,1,0
2/14/26 9:58,null,null,214,186,30,3,0,0
2/14/26 9:58,null,null,204,166,35,2,0,0
2/14/26 9:58,null,null,163,128,26,0,0,0
2/14/26 9:58,null,null,156,132,21,0,0,0
2/14/26 9:59,null,null,175,152,17,1,0,0
2/14/26 9:59,null,null,196,167,20,0,0,0
2/14/26 9:59,null,null,208,166,21,1,0,0
2/14/26 9:59,null,null,219,179,25,4,1,0
2/14/26 9:59,null,null,251,211,31,4,2,0
2/14/26 9:59,null,null,225,186,23,4,1,0
2/14/26 9:59,null,null,183,146,17,2,0,0
2/14/26 9:59,null,null,172,138,15,1,0,0
2/14/26 9:59,null,null,188,157,13,1,0,0
2/14/26 9:59,null,null,208,168,20,1,1,1
2/14/26 9:59,null,null,221,182,22,1,1,1
2/14/26 9:59,null,null,213,184,17,2,1,1
2/14/26 10:00,null,null,174,154,25,3,1,0
2/14/26 10:00,null,null,186,156,32,3,1,0
2/14/26 10:00,null,null,193,149,26,2,0,0
2/14/26 10:00,null,null,200,158,22,1,0,0
2/14/26 10:59,null,null,251,214,23,1,0,0
2/14/26 10:59,null,null,249,210,23,2,1,0
2/14/26 11:07,null,null,246,209,22,2,1,0
2/14/26 11:07,null,null,217,191,27,3,2,0
2/14/26 11:07,null,null,212,179,28,3,1,0
2/14/26 11:08,null,null,199,149,18,2,0,0
2/14/26 11:08,null,null,221,171,28,4,1,0
2/14/26 11:08,null,null,215,170,27,3,1,0
2/14/26 11:08,null,null,174,136,17,1,0,0
2/14/26 11:08,null,null,183,155,14,2,0,0
2/14/26 11:08,null,null,180,165,14,1,0,0
2/14/26 11:08,null,null,199,177,18,1,1,1
2/14/26 11:09,null,null,202,166,19,2,0,0
2/14/26 11:09,null,null,176,147,21,1,0,0
2/14/26 11:09,null,null,175,150,18,2,1,0
2/14/26 11:09,null,null,193,159,14,2,1,0
2/14/26 11:09,null,null,217,171,14,1,0,0
2/14/26 11:09,null,null,220,169,15,3,0,0
2/14/26 11:09,null,null,195,155,17,4,1,0
2/14/26 11:09,null,null,210,174,22,4,3,0
2/14/26 11:09,null,null,237,198,22,4,2,1
2/14/26 11:09,null,null,205,166,18,4,1,0
2/14/26 11:09,null,null,187,141,15,2,1,0
2/14/26 11:09,null,null,208,149,15,1,0,0
2/14/26 11:10,null,null,218,167,22,2,0,0
2/14/26 11:10,null,null,204,173,29,1,0,0
2/14/26 11:10,null,null,234,197,28,2,1,1
2/14/26 11:10,null,null,247,204,19,3,1,1
2/14/26 11:10,null,null,218,185,17,0,0,0
2/14/26 11:10,null,null,192,168,20,0,0,0
2/14/26 11:10,null,null,181,148,19,2,0,0
2/14/26 11:10,null,null,207,172,23,4,0,0
2/14/26 11:10,null,null,230,196,22,2,0,0
2/14/26 11:10,null,null,219,173,21,1,0,0
2/14/26 11:10,null,null,209,165,24,1,0,0
2/14/26 11:11,null,null,227,186,20,0,0,0
2/14/26 11:11,null,null,206,166,11,1,0,0
2/14/26 11:11,null,null,201,167,9,1,0,0
2/14/26 11:11,null,null,205,175,15,0,0,0
2/14/26 11:11,null,null,212,171,23,2,0,0
2/14/26 11:11,null,null,224,179,23,3,1,0
2/14/26 11:11,null,null,205,170,20,2,1,0
2/14/26 11:11,null,null,217,184,21,2,0,0
2/14/26 11:11,null,null,213,182,17,1,0,0
2/14/26 11:11,null,null,204,166,15,1,0,0
2/14/26 11:11,null,null,209,167,17,1,0,0
2/14/26 11:11,null,null,202,161,21,1,0,0
2/14/26 11:12,null,null,200,161,23,1,0,0
2/14/26 11:12,null,null,212,182,31,1,0,0
2/14/26 11:12,null,null,232,205,40,1,1,0
2/14/26 11:12,null,null,231,207,34,1,1,0
2/14/26 11:12,null,null,210,184,21,0,0,0
2/14/26 11:12,null,null,207,177,21,0,0,0
2/14/26 11:12,null,null,214,182,23,1,1,0
2/14/26 11:12,null,null,202,167,18,4,2,0
2/14/26 11:12,null,null,196,157,22,4,2,1
2/14/26 11:12,null,null,194,159,22,1,0,0
2/14/26 11:12,null,null,182,158,21,1,1,0
2/14/26 11:13,null,null,196,162,22,0,0,0
2/14/26 11:13,null,null,238,192,22,1,1,1
2/14/26 11:13,null,null,255,215,23,1,1,1
2/14/26 11:13,null,null,222,187,18,1,0,0
2/14/26 11:13,null,null,213,169,19,1,1,0
2/14/26 11:13,null,null,211,172,21,0,0,0
2/14/26 11:13,null,null,202,175,18,0,0,0
2/14/26 11:13,null,null,229,203,18,0,0,0
2/14/26 11:13,null,null,223,198,15,1,0,0
2/14/26 11:13,null,null,216,180,14,0,0,0
2/14/26 11:13,null,null,224,177,14,2,0,0
2/14/26 11:14,null,null,208,173,18,2,0,0
2/14/26 11:14,null,null,209,182,18,1,0,0
2/14/26 11:14,null,null,216,191,26,1,0,0
2/14/26 11:14,null,null,213,186,28,2,1,0
2/14/26 11:14,null,null,196,166,21,3,1,0
2/14/26 11:14,null,null,185,159,22,3,2,1
2/14/26 11:14,null,null,210,181,27,1,0,0
2/14/26 11:14,null,null,228,187,26,1,0,0
2/14/26 11:14,null,null,219,171,25,1,1,0
2/14/26 11:14,null,null,213,167,24,0,0,0
2/14/26 11:14,null,null,209,164,18,1,0,0
2/14/26 11:14,null,null,211,169,26,2,0,0
2/14/26 11:15,null,null,240,201,30,2,0,0
2/14/26 11:15,null,null,222,186,17,0,0,0
2/14/26 11:15,null,null,185,150,11,0,0,0
2/14/26 11:15,null,null,200,164,20,1,1,0
2/14/26 11:15,null,null,221,189,29,2,0,0
2/14/26 11:15,null,null,223,194,26,2,0,0
2/14/26 11:15,null,null,226,190,24,4,0,0
2/14/26 11:15,null,null,230,186,24,6,0,0
2/14/26 11:15,null,null,231,194,21,4,2,0
2/14/26 11:15,null,null,205,182,16,1,1,0
2/14/26 11:15,null,null,185,169,13,0,0,0
2/14/26 11:16,null,null,192,161,15,1,0,0
2/14/26 11:16,null,null,177,138,14,1,0,0
2/14/26 11:16,null,null,178,135,17,1,0,0
2/14/26 11:16,null,null,177,137,17,2,1,0
2/14/26 11:16,null,null,167,135,14,4,0,0
2/14/26 11:16,null,null,167,135,14,3,0,0
2/14/26 11:16,null,null,197,162,9,2,1,0
2/14/26 11:16,null,null,214,176,16,1,0,0
2/14/26 11:16,null,null,223,192,26,1,0,0
2/14/26 11:16,null,null,228,199,24,1,0,0
2/14/26 11:16,null,null,215,185,32,1,0,0
2/14/26 11:16,null,null,208,176,33,2,1,0
2/14/26 11:17,null,null,189,147,19,2,1,0
2/14/26 11:17,null,null,202,151,22,0,0,0
2/14/26 11:17,null,null,214,169,24,0,0,0
2/14/26 11:17,null,null,191,156,22,1,0,0
2/14/26 11:17,null,null,187,143,18,1,0,0
2/14/26 11:17,null,null,180,137,16,1,0,0
2/14/26 11:17,null,null,187,160,16,0,0,0
2/14/26 11:17,null,null,223,204,17,0,0,0
2/14/26 11:17,null,null,242,217,23,1,0,0
2/14/26 11:17,null,null,248,210,29,2,1,0
2/14/26 11:17,null,null,262,218,24,0,0,0
2/14/26 11:18,null,null,273,232,21,0,0,0
2/14/26 11:18,null,null,236,201,24,1,0,0
2/14/26 11:18,null,null,210,177,25,0,0,0
2/14/26 11:18,null,null,216,177,25,1,0,0
2/14/26 11:18,null,null,252,203,24,2,1,0
2/14/26 11:18,null,null,257,205,22,2,1,0
2/14/26 11:18,null,null,224,182,22,1,0,0
2/14/26 11:18,null,null,237,195,27,2,1,0
2/14/26 11:18,null,null,221,178,27,3,2,0
2/14/26 11:18,null,null,230,191,30,3,2,0
2/14/26 11:18,null,null,229,197,29,3,1,0
2/14/26 11:19,null,null,193,161,27,1,1,0
2/14/26 11:19,null,null,216,172,26,2,0,0
2/14/26 11:19,null,null,232,185,17,2,0,0
2/14/26 11:19,null,null,230,188,16,0,0,0
