time,longitude,latitude,>= 0.3µm,>= 0.5µm,>= 1.0µm,>= 2.5µm,>= 5.0µm,>= 10.0µm,time
4:39:52 PM,null,null,505,451,84,7,0,0,
4:39:57 PM,null,null,519,458,89,8,1,1,
4:40:02 PM,null,null,516,452,98,8,0,0,
4:40:08 PM,null,null,483,431,88,9,1,0,
4:40:13 PM,null,null,489,438,80,11,2,0,
4:40:18 PM,null,null,497,434,86,8,2,0,
4:40:23 PM,null,null,536,470,98,5,4,0,
4:40:29 PM,null,null,613,541,107,5,4,1,
4:40:34 PM,null,null,645,573,109,8,2,2,
4:40:39 PM,null,null,615,548,111,11,3,1,
4:40:44 PM,null,null,602,536,118,11,2,0,
4:40:50 PM,null,null,586,522,111,10,2,0,
4:40:55 PM,null,null,565,499,93,10,4,0,
4:41:00 PM,null,null,591,508,104,12,2,0,
4:41:05 PM,null,null,572,480,105,15,2,1,
4:41:11 PM,null,null,545,472,90,17,1,0,
4:41:16 PM,null,null,549,496,97,12,0,0,
4:41:21 PM,null,null,578,518,100,10,3,0,
4:41:26 PM,null,null,654,570,102,14,4,0,
4:41:32 PM,null,null,663,567,102,17,7,0,
4:41:37 PM,null,null,611,523,85,13,7,0,
4:41:42 PM,null,null,580,504,94,8,2,0,
4:41:48 PM,null,null,535,467,108,12,2,0,
5:10:25 PM,null,null,450,390,80,6,0,0,
5:12:52 PM,null,null,464,393,75,7,0,0,
5:12:57 PM,null,null,474,401,64,8,0,0,
5:13:02 PM,null,null,450,384,53,8,0,0,
5:13:08 PM,null,null,494,421,79,8,1,0,
5:13:13 PM,null,null,570,491,101,14,1,0,
5:13:18 PM,null,null,603,514,83,13,2,0,
5:13:23 PM,null,null,628,520,91,8,1,0,
5:13:29 PM,null,null,620,523,116,7,0,0,
5:13:34 PM,null,null,594,522,115,6,2,0,
5:13:39 PM,null,null,597,519,107,9,2,0,
5:13:45 PM,null,null,577,500,101,11,1,0,
5:13:50 PM,null,null,590,501,95,9,1,0,
5:13:55 PM,null,null,609,507,81,6,2,0,
5:14:00 PM,null,null,563,471,81,5,3,0,
5:14:06 PM,null,null,523,428,78,6,1,0,
5:14:11 PM,null,null,512,419,71,7,0,0,
5:14:16 PM,null,null,517,445,89,13,1,0,
5:14:21 PM,null,null,514,445,71,11,2,0,
5:14:27 PM,null,null,533,443,67,6,2,1,
5:14:32 PM,null,null,504,409,87,9,3,1,
5:14:37 PM,null,null,480,401,91,11,3,0,
5:14:42 PM,null,null,502,434,84,7,2,1,
5:43:17 PM,null,null,240,208,29,4,1,1,
